A.S. 91040 v2,4.00 cr ,Social Studies 1.2 - Conduct a social inquiry,Social Science Studies,,10SST,Social Studies,Social Science
U.S. 2395 v8,4.00 cr ,"Select, use, and care for, engineering hand tools",Mechanical Engineering,,TEA7,Technical Academy,Technology
U.S. 2396 v6,4.00 cr ,"Select, use and maintain portable hand held engineering power tools",Mechanical Engineering,,TEA7,Technical Academy,Technology
U.S. 2430 v7,4.00 cr ,Manually produce and interpret engineering sketches under supervision,Mechanical Engineering,,TEA7,Technical Academy,Technology
U.S. 2432 v7,3.00 cr ,Manually construct plane geometric shapes for engineering,Mechanical Engineering,,TEA7,Technical Academy,Technology
U.S. 24555 v2,3.00 cr ,Demonstrate knowledge of the safe operation of a motorcycle,Agriculture,,TEA7,Technical Academy,Technology
U.S. 26622 v2,4.00 cr ,Write to communicate ideas for a purpose and audience,Core Generic,,TEA7,Technical Academy,Technology
U.S. 26624 v2,3.00 cr ,Read texts with understanding,Core Generic,,TEA7,Technical Academy,Technology
U.S. 26625 v3,3.00 cr ,Actively participate in spoken interactions,Core Generic,,TEA7,Technical Academy,Technology
U.S. 4433 v6,2.00 cr ,"Select, use, and care for simple measuring devices used in engineering",Mechanical Engineering,,TEA7,Technical Academy,Technology
U.S. 4435 v7,3.00 cr ,"Select, use, and care for engineering dimensional measuring equipment",Mechanical Engineering,,TEA7,Technical Academy,Technology
U.S. 4436 v6,4.00 cr ,"Select, use, and care for engineering marking-out equipment",Mechanical Engineering,,TEA7,Technical Academy,Technology
U.S. 497 v7,3.00 cr ,Demonstrate knowledge of workplace health and safety requirements,Occupational Health and Safety,,TEA7,Technical Academy,Technology
A.S. 91085 v1,6.00 cr ,Te Reo Maori 1.1 - Whakarongo kia mohio ki te reo o tona ao,Reo Maori,,TER6,Te Reo Maori,M_ori
A.S. 91086 v1,6.00 cr ,Te Reo Maori 1.2 - Korero kia whakamahi i te reo o tona ao,Reo Maori,,TER6,Te Reo Maori,M_ori
A.S. 91087 v1,6.00 cr ,Te Reo Maori 1.3 - Panui kia mohio ki te reo o tona ao,Reo Maori,External,TER6,Te Reo Maori,M_ori
A.S. 91088 v1,6.00 cr ,Te Reo Maori 1.4 - Tuhi i te reo o tona ao,Reo Maori,External,TER6,Te Reo Maori,M_ori
A.S. 91089 v1,6.00 cr ,Te Reo Maori 1.5 - Waihanga tuhinga i te reo o tona ao,Reo Maori,,TER6,Te Reo Maori,M_ori
U.S. 16142 v4,2.00 cr ,Describe and explain the rituals associated with whakaeke in accordance with tikanga,Tikanga,,TER6,Te Reo Maori,M_ori
U.S. 27106 v1,2.00 cr ,Describe the terms connected with whakapapa and use terms within one's own whakapapa,Tikanga,,TER6,Te Reo Maori,M_ori
U.S. 27108 v1,2.00 cr ,Describe the protocols and roles associated with powhiri in accordance with tikanga,Tikanga,,TER6,Te Reo Maori,M_ori
U.S. 7257 v7,4.00 cr ,Tuhituhi korero mama tetahi ki tetahi atu,Reo Maori,,TER6,Te Reo Maori,M_ori
U.S. 7261 v7,4.00 cr ,Whakamaramatia nga whakawhitiwhitinga korero mama,Reo Maori,,TER6,Te Reo Maori,M_ori
U.S. 7265 v7,4.00 cr ,Panui i nga tuhinga korero mama mo te tangata,Reo Maori,,TER6,Te Reo Maori,M_ori
U.S. 7269 v7,4.00 cr ,Whakawhitiwhiti korero mama tetahi ki tetahi,Reo Maori,,TER6,Te Reo Maori,M_ori
A.S. 91284 v1,4.00 cr ,Te Reo Maori 2.1 - Whakarongo kia mohio ki te reo o te ao torotoro,Reo Maori,,TER7,Te Reo M_ori,M_ori
A.S. 91285 v1,6.00 cr ,Te Reo Maori 2.2 - Korero kia whakamahi i te reo o te ao torotoro,Reo Maori,,TER7,Te Reo M_ori,M_ori
A.S. 91286 v1,6.00 cr ,Te Reo Maori 2.3 - Panui kia mohio ki te reo o te ao torotoro,Reo Maori,External,TER7,Te Reo M_ori,M_ori
A.S. 91287 v1,6.00 cr ,Te Reo Maori 2.4 - Tuhi i te reo o te ao torotoro,Reo Maori,External,TER7,Te Reo M_ori,M_ori
A.S. 91288 v1,6.00 cr ,"Te Reo Maori 2.5 - Waihanga tuhinga auaha, i te reo o te ao torotoro",Reo Maori,,TER7,Te Reo M_ori,M_ori
U.S. 7258 v7,6.00 cr ,Tuhituhi korero mona ake me ana mahi,Reo Maori,,TER7,Te Reo M_ori,M_ori
U.S. 7262 v7,7.00 cr ,Whakamaramatia nga korero me nga mahi a tetahi atu,Reo Maori,,TER7,Te Reo M_ori,M_ori
U.S. 7270 v7,7.00 cr ,Korero mona ake me ana mahi,Reo Maori,,TER7,Te Reo M_ori,M_ori
A.S. 91650 v1,4.00 cr ,Te Reo Maori 3.1 - Whakarongo kia mohio ki te reo Maori o te ao whanui,Reo Maori,,TER8,Te Reo M_ori,M_ori
A.S. 91651 v1,6.00 cr ,Te Reo Maori 3.2 - Korero kia whakamahi i te reo Maori o te ao whanui,Reo Maori,,TER8,Te Reo M_ori,M_ori
A.S. 91652 v1,6.00 cr ,Te Reo Maori 3.3 - Panui kia mohio ki te reo Maori o te ao whanui,Reo Maori,External,TER8,Te Reo M_ori,M_ori
A.S. 91653 v1,6.00 cr ,Te Reo Maori 3.4 - Tuhi i te reo Maori o te ao whanui,Reo Maori,External,TER8,Te Reo M_ori,M_ori
A.S. 91654 v1,6.00 cr ,Te Reo Maori 3.5 - Waihanga tuhinga whai take i te reo Maori o te ao whanui,Reo Maori,,TER8,Te Reo M_ori,M_ori
U.S. 16054 v3,2.00 cr ,Describe the life and achievements of a Maori leader,Tikanga,,TER8,Te Reo M_ori,M_ori
U.S. 7259 v8,7.00 cr ,Tuhituhi korero mo tetahi tangata me tona taiao,Reo Maori,,TER8,Te Reo M_ori,M_ori
U.S. 7263 v8,9.00 cr ,Whakamaramatia nga whakamahinga korero a etahi atu,Reo Maori,,TER8,Te Reo M_ori,M_ori
U.S. 7271 v8,9.00 cr ,Korero mo etahi atu me a ratou mahi,Reo Maori,,TER8,Te Reo M_ori,M_ori
U.S. 107 v6,5.00 cr ,Apply text processing skills to produce communications in a business or organisational context,Business Administration,,TPC5,Digital Technology,Teen Parent Unit
U.S. 111 v7,5.00 cr ,Use a word processor to produce documents for a business or organisation,Business Administration,,TPC5,Digital Technology,Teen Parent Unit
U.S. 12884 v6,3.00 cr ,Create electronic documents and manage a file for generic text and information management,Business Administration,,TPC5,Digital Technology,Teen Parent Unit
U.S. 18743 v3,2.00 cr ,Produce a spreadsheet from instructions using supplied data,Computing,,TPC5,Digital Technology,Teen Parent Unit
U.S. 2792 v6,2.00 cr ,Produce simple desktop published documents using templates,Computing,,TPC5,Digital Technology,Teen Parent Unit
A.S. 91100 v1,4.00 cr ,"English 2.3 - Analyse significant aspects of unfamiliar written text(s) through close reading, supported by evidence",English,External,TPCE7,Communication English,Teen Parent Unit
A.S. 91102 v1,3.00 cr ,English 2.5 - Construct and deliver a crafted and controlled oral text,English,,TPCE7,Communication English,Teen Parent Unit
A.S. 91103 v1,3.00 cr ,English 2.6 - Create a crafted and controlled visual and verbal text,English,,TPCE7,Communication English,Teen Parent Unit
A.S. 91104 v1,4.00 cr ,"English 2.7 - Analyse significant connections across texts, supported by evidence",English,,TPCE7,Communication English,Teen Parent Unit
A.S. 91107 v1,3.00 cr ,"English 2.10 - Analyse aspects of visual and/or oral text(s) through close viewing and/or listening, supported by evidence",English,,TPCE7,Communication English,Teen Parent Unit
U.S. 25073 v1,3.00 cr ,Read texts to recognise differing points of view on a topic,Communication Skills,,TPCE7,Communication English,Teen Parent Unit
U.S. 2989 v4,3.00 cr ,"Select, assess, and read texts to gain knowledge",Communication Skills,,TPCE7,Communication English,Teen Parent Unit
U.S. 3492 v5,3.00 cr ,Write a short report,Communication Skills,,TPCE7,Communication English,Teen Parent Unit
U.S. 7121 v4,2.00 cr ,"Demonstrate skills to search, access, and select information",Core Generic,,TPCE7,Communication English,Teen Parent Unit
U.S. 8824 v5,3.00 cr ,"Research a topic using oral, visual and written sources, and evaluate the research process",Core Generic,,TPCE7,Communication English,Teen Parent Unit
A.S. 90052 v4,3.00 cr ,English 1.4 - Produce creative writing,English,,TPE6,English,Teen Parent Unit
A.S. 90053 v4,3.00 cr ,English 1.5 - Produce formal writing,English,,TPE6,English,Teen Parent Unit
A.S. 90849 v2,4.00 cr ,"English 1.1 - Show understanding of specified aspect(s) of studied written text(s), using supporting evidence",English,External,TPE6,English,Teen Parent Unit
A.S. 90850 v2,4.00 cr ,"English 1.2 - Show understanding of specified aspect(s) of studied visual or oral text(s), using supporting evidence",English,External,TPE6,English,Teen Parent Unit
A.S. 90851 v1,4.00 cr ,"English 1.3 - Show understanding of significant aspects of unfamiliar written text(s) through close reading, using supporting evidence",English,External,TPE6,English,Teen Parent Unit
A.S. 90852 v1,4.00 cr ,"English 1.8 - Explain significant connection(s) across texts, using supporting evidence",English,,TPE6,English,Teen Parent Unit
A.S. 90854 v1,4.00 cr ,"English 1.10 - Form personal responses to independently read texts, supported by evidence",English,,TPE6,English,Teen Parent Unit
A.S. 90855 v1,3.00 cr ,English 1.7 - Create a visual text,English,,TPE6,English,Teen Parent Unit
A.S. 90856 v1,3.00 cr ,"English 1.11 - Show understanding of visual and/or oral text(s) through close viewing and/or listening, using supporting evidence",English,,TPE6,English,Teen Parent Unit
A.S. 90857 v1,3.00 cr ,English 1.6 - Construct and deliver an oral text,English,,TPE6,English,Teen Parent Unit
A.S. 91105 v1,4.00 cr ,English 2.8 - Use information literacy skills to form developed conclusion(s),English,,TPE6,English,Teen Parent Unit
U.S. 10790 v3,2.00 cr ,Converse with others,Communication Skills,,TPE6,English,Teen Parent Unit
U.S. 10792 v3,3.00 cr ,Write formal personal correspondence,Communication Skills,,TPE6,English,Teen Parent Unit
U.S. 1273 v6,4.00 cr ,Express ideas in writing and write an original story,Communication Skills,,TPE6,English,Teen Parent Unit
U.S. 1285 v5,4.00 cr ,Make inquiries and complete practical transactions,Communication Skills,,TPE6,English,Teen Parent Unit
U.S. 1293 v5,2.00 cr ,"Be interviewed in an informal one-to-one, face-to-face interview",Communication Skills,,TPE6,English,Teen Parent Unit
U.S. 2970 v5,3.00 cr ,Independently read texts about life experiences which relate to a personal identified interest,Communication Skills,,TPE6,English,Teen Parent Unit
U.S. 3483 v5,2.00 cr ,Fill in a form,Communication Skills,,TPE6,English,Teen Parent Unit
U.S. 3490 v5,2.00 cr ,Complete an incident report,Communication Skills,,TPE6,English,Teen Parent Unit
U.S. 3501 v4,3.00 cr ,Demonstrate knowledge of and apply listening techniques,Communication Skills,,TPE6,English,Teen Parent Unit
U.S. 3503 v4,2.00 cr ,Participate and communicate in a team or group to complete a routine task,Communication Skills,,TPE6,English,Teen Parent Unit
A.S. 91098 v2,4.00 cr ,"English 2.1 - Analyse specified aspect(s) of studied written text(s), supported by evidence",English,External,TPE7,English,Teen Parent Unit
A.S. 91099 v2,4.00 cr ,"English 2.2 - Analyse specified aspect(s) of studied visual or oral text(s), supported by evidence",English,External,TPE7,English,Teen Parent Unit
A.S. 91100 v1,4.00 cr ,"English 2.3 - Analyse significant aspects of unfamiliar written text(s) through close reading, supported by evidence",English,External,TPE7,English,Teen Parent Unit
A.S. 91101 v1,6.00 cr ,English 2.4 - Produce a selection of crafted and controlled writing,English,,TPE7,English,Teen Parent Unit
A.S. 91102 v1,3.00 cr ,English 2.5 - Construct and deliver a crafted and controlled oral text,English,,TPE7,English,Teen Parent Unit
A.S. 91103 v1,3.00 cr ,English 2.6 - Create a crafted and controlled visual and verbal text,English,,TPE7,English,Teen Parent Unit
A.S. 91104 v1,4.00 cr ,"English 2.7 - Analyse significant connections across texts, supported by evidence",English,,TPE7,English,Teen Parent Unit
A.S. 91105 v1,4.00 cr ,English 2.8 - Use information literacy skills to form developed conclusion(s),English,,TPE7,English,Teen Parent Unit
A.S. 91106 v1,4.00 cr ,"English 2.9 - Form developed personal responses to independently read texts, supported by evidence",English,,TPE7,English,Teen Parent Unit
A.S. 91107 v1,3.00 cr ,"English 2.10 - Analyse aspects of visual and/or oral text(s) through close viewing and/or listening, supported by evidence",English,,TPE7,English,Teen Parent Unit
U.S. 25073 v1,3.00 cr ,Read texts to recognise differing points of view on a topic,Communication Skills,,TPE7,English,Teen Parent Unit
U.S. 2989 v4,3.00 cr ,"Select, assess, and read texts to gain knowledge",Communication Skills,,TPE7,English,Teen Parent Unit
U.S. 3492 v5,3.00 cr ,Write a short report,Communication Skills,,TPE7,English,Teen Parent Unit
U.S. 7121 v4,2.00 cr ,"Demonstrate skills to search, access, and select information",Core Generic,,TPE7,English,Teen Parent Unit
U.S. 8824 v5,3.00 cr ,"Research a topic using oral, visual and written sources, and evaluate the research process",Core Generic,,TPE7,English,Teen Parent Unit
A.S. 91472 v1,4.00 cr ,"English 3.1 - Respond critically to specified aspect(s) of studied written text(s), supported by evidence",English,External,TPE8,English,Teen Parent Unit
A.S. 91473 v1,4.00 cr ,"English 3.2 - Respond critically to specified aspect(s) of studied visual or oral text(s), supported by evidence",English,External,TPE8,English,Teen Parent Unit
A.S. 91474 v1,4.00 cr ,"English 3.3 - Respond critically to significant aspects of unfamiliar written texts through close reading, supported by evidence",English,External,TPE8,English,Teen Parent Unit
A.S. 91475 v1,6.00 cr ,"English 3.4 - Produce a selection of fluent and coherent writing which develops, sustains, and structures ideas",English,,TPE8,English,Teen Parent Unit
A.S. 91476 v1,3.00 cr ,"English 3.5 - Create and deliver a fluent and coherent oral text which develops, sustains, and structures ideas",English,,TPE8,English,Teen Parent Unit
A.S. 91477 v1,3.00 cr ,"English 3.6 - Create a fluent and coherent visual text which develops, sustains, and structures ideas using verbal and visual language",English,,TPE8,English,Teen Parent Unit
A.S. 91478 v1,4.00 cr ,"English 3.7 - Respond critically to significant connections across texts, supported by evidence",English,,TPE8,English,Teen Parent Unit
A.S. 91479 v1,4.00 cr ,English 3.8 - Develop an informed understanding of literature and/or language using critical texts,English,,TPE8,English,Teen Parent Unit
A.S. 91480 v1,3.00 cr ,"English 3.9 - Respond critically to significant aspects of visual and/or oral text(s) through close reading, supported by evidence",English,,TPE8,English,Teen Parent Unit
U.S. 1279 v5,3.00 cr ,Write in plain English,Communication Skills,,TPE8,English,Teen Parent Unit
U.S. 1307 v6,3.00 cr ,Speak to a known audience in a predictable situation,Communication Skills,,TPE8,English,Teen Parent Unit
U.S. 2990 v5,4.00 cr ,Read texts to research information,Communication Skills,,TPE8,English,Teen Parent Unit
U.S. 3491 v5,4.00 cr ,Write a report,Communication Skills,,TPE8,English,Teen Parent Unit
A.S. 90971 v1,3.00 cr ,Health 1.1 - Take action to enhance an aspect of personal well-being,Health and Physical Education,,TPL6,Life Skills,Teen Parent Unit
U.S. 15900 v4,4.00 cr ,Prepare and present meat in the hospitality industry,Hospitality,,TPL6,Life Skills,Teen Parent Unit
U.S. 15901 v4,3.00 cr ,Prepare and present fruit and vegetables in the hospitality industry,Hospitality,,TPL6,Life Skills,Teen Parent Unit
U.S. 19770 v3,2.00 cr ,Prepare and present egg and cheese dishes in the hospitality industry,Hospitality,,TPL6,Life Skills,Teen Parent Unit
U.S. 24709 v1,3.00 cr ,Produce a balanced budget for an individual,Core Generic,,TPL6,Life Skills,Teen Parent Unit
U.S. 26623 v1,4.00 cr ,Use number to solve problems,Core Generic,,TPM5,Mathematics,Teen Parent Unit
U.S. 26626 v1,3.00 cr ,Interpret statistical information for a purpose,Core Generic,,TPM5,Mathematics,Teen Parent Unit
U.S. 26627 v1,3.00 cr ,Use measurement to solve problems,Core Generic,,TPM5,Mathematics,Teen Parent Unit
A.S. 90956 v1,5.00 cr ,Home Economics 1.1 - Demonstrate knowledge of an individual's nutritional needs,Health and Physical Education,,TPN6,Nutrition,Teen Parent Unit
A.S. 90957 v1,5.00 cr ,Home Economics 1.2 - Demonstrate understanding of societal influences on an individual's food choices and well-being,Health and Physical Education,,TPN6,Nutrition,Teen Parent Unit
A.S. 90958 v2,5.00 cr ,Home Economics 1.3 - Demonstrate understanding of how cultural practices influence eating patterns in New Zealand,Health and Physical Education,,TPN6,Nutrition,Teen Parent Unit
A.S. 90959 v1,5.00 cr ,Home Economics 1.4 - Demonstrate knowledge of practices and strategies to address food handling issues,Health and Physical Education,,TPN6,Nutrition,Teen Parent Unit
A.S. 90961 v2,4.00 cr ,Home Economics 1.6 - Demonstrate understanding of how packaging information influences an individual's food choices and well-being,Health and Physical Education,External,TPN6,Nutrition,Teen Parent Unit
A.S. 90925 v2,4.00 cr ,"Biology 1.1 - Carry out a practical investigation in a biological context, with direction",Science,,TPS6,Science,Teen Parent Unit
A.S. 90926 v2,3.00 cr ,Biology 1.2 - Report on a biological issue,Science,,TPS6,Science,Teen Parent Unit
A.S. 90943 v2,4.00 cr ,Science 1.4 - Investigate implications of heat for everyday life,Science,,TPS6,Science,Teen Parent Unit
A.S. 90949 v2,4.00 cr ,Science 1.10 - Investigate life processes and environmental factors that affect them,Science,,TPS6,Science,Teen Parent Unit
A.S. 90950 v2,4.00 cr ,Science 1.11 - Investigate biological ideas relating to interactions between humans and micro-organisms,Science,,TPS6,Science,Teen Parent Unit
U.S. 18969 v4,2.00 cr ,"Demonstrate knowledge of the characteristics of living things, organs, and an organ system",Science,,TPS6,Science,Teen Parent Unit
U.S. 18211 v2,8.00 cr ,Demonstrate knowledge of Australia as a tourist destination,Tourism,,TPT7,Tourism,Teen Parent Unit
U.S. 3727 v6,8.00 cr ,Demonstrate knowledge of Pacific Island countries as tourist destinations,Tourism,,TPT7,Tourism,Teen Parent Unit
U.S. 24728 v1,3.00 cr ,Demonstrate knowledge of work roles in tourism,Tourism,,TRM7,Tourism,Social Science
U.S. 24729 v2,4.00 cr ,Demonstrate knowledge of world tourist destinations,Tourism,,TRM7,Tourism,Social Science
U.S. 24730 v1,4.00 cr ,Demonstrate knowledge of the business of tourism,Tourism,,TRM7,Tourism,Social Science
U.S. 24731 v2,4.00 cr ,Demonstrate knowledge of destination New Zealand,Tourism,,TRM7,Tourism,Social Science
U.S. 24732 v1,3.00 cr ,Demonstrate knowledge of tourist characteristics and needs,Tourism,,TRM7,Tourism,Social Science
U.S. 24733 v1,4.00 cr ,Describe and promote a New Zealand tourist destination,Tourism,,TRM7,Tourism,Social Science
U.S. 18211 v2,8.00 cr ,Demonstrate knowledge of Australia as a tourist destination,Tourism,,TRM8,Tourism,Social Science
U.S. 24725 v1,4.00 cr ,Describe and analyse the economic significance of tourism,Tourism,,TRM8,Tourism,Social Science
U.S. 3727 v6,8.00 cr ,Demonstrate knowledge of Pacific Island countries as tourist destinations,Tourism,,TRM8,Tourism,Social Science
