A.S. 90961 v3,4.00 cr ,Home Economics 1.6 - Demonstrate understanding of how packaging information influences an individual's food choices and well-being,Health and Physical Education,External,FTE6,Technology,77
A.S. 91299 v1,5.00 cr ,Home Economics 2.1 - Analyse issues related to the provision of food for people with specific food needs,Health and Physical Education,,FTE7,Technology,51
A.S. 91300 v2,4.00 cr ,"Home Economics 2.2 - Analyse the relationship between well-being, food choices and determinants of health",Health and Physical Education,External,FTE7,Technology,41
A.S. 91301 v1,5.00 cr ,"Home Economics 2.3 - Analyse beliefs, attitudes and practices related to a nutritional issue for families in New Zealand",Health and Physical Education,,FTE7,Technology,52
A.S. 91302 v1,5.00 cr ,Home Economics 2.4 - Evaluate sustainable food related practices,Health and Physical Education,,FTE7,Technology,52
A.S. 91466 v1,5.00 cr ,Home Economics 3.1 - Investigate a nutritional issue affecting the well-being of New Zealand society,Health and Physical Education,,FTE8,Technology,18
A.S. 91467 v1,5.00 cr ,Home Economics 3.2 - Implement an action plan to address a nutritional issue affecting the well-being of New Zealand society,Health and Physical Education,,FTE8,Technology,17
A.S. 91468 v1,5.00 cr ,Home Economics 3.3 - Analyse a food related ethical dilemma for New Zealand society,Health and Physical Education,,FTE8,Technology,21
A.S. 91469 v1,5.00 cr ,Home Economics 3.4 - Investigate the influence of multinational food corporations on eating patterns in New Zealand,Health and Physical Education,,FTE8,Technology,20
A.S. 91471 v1,4.00 cr ,Home Economics 3.6 - Analyse the influences of food advertising on well-being,Health and Physical Education,External,FTE8,Technology,3
A.S. 91063 v4,3.00 cr ,Design and Visual Communication 1.30 - Produce freehand sketches that communicate design ideas,Technology,External,GRA6,Technology,
A.S. 91064 v4,3.00 cr ,"Design and Visual Communication 1.31 - Produce instrumental, multi-view orthographic drawings that communicate technical features of design ideas",Technology,External,GRA6,Technology,
A.S. 91065 v4,3.00 cr ,Design and Visual Communication 1.32 - Produce instrumental paraline drawings to communicate design ideas,Technology,External,GRA6,Technology,25
A.S. 91066 v2,3.00 cr ,Design and Visual Communication 1.33 - Use rendering techniques to communicate the form of design ideas,Technology,,GRA6,Technology,25
A.S. 91068 v3,6.00 cr ,Design and Visual Communication 1.35 - Undertake development of design ideas through graphics practice,Technology,,GRA6,Technology,25
A.S. 91069 v3,4.00 cr ,Design and Visual Communication 1.36 - Promote an organised body of design work to an audience using visual communication techniques,Technology,,GRA6,Technology,25
A.S. 91337 v3,3.00 cr ,Design and Visual Communication 2.30 - Use visual communication techniques to generate design ideas,Technology,External,GRA7,Technology,13
A.S. 91338 v3,4.00 cr ,Design and Visual Communication 2.31 - Produce working drawings to communicate technical details of a design,Technology,External,GRA7,Technology,13
A.S. 91342 v2,6.00 cr ,Design and Visual Communication 2.35 - Develop a product design through graphics practice,Technology,,GRA7,Technology,13
A.S. 91343 v2,4.00 cr ,Design and Visual Communication 2.36 - Use visual communication techniques to compose a presentation of a design,Technology,,GRA7,Technology,13
U.S. 2433 v7,6.00 cr ,Produce simple engineering component drawings using CAD software,Mechanical Engineering,,GRA7,Technology,
A.S. 91627 v2,4.00 cr ,Design and Visual Communication 3.30 - Initiate design ideas through exploration,Technology,External,GRA8,Technology,6
A.S. 91629 v2,6.00 cr ,Design and Visual Communication 3.32 - Resolve a spatial design through graphics practice,Technology,,GRA8,Technology,6
A.S. 91630 v2,6.00 cr ,Design and Visual Communication 3.33 - Resolve a product design through graphics practice,Technology,,GRA8,Technology,6
A.S. 91631 v2,6.00 cr ,Design and Visual Communication 3.34 - Produce working drawings to communicate production details for a complex design,Technology,External,GRA8,Technology,6
U.S. 15896 v4,3.00 cr ,Demonstrate knowledge of frying and grilling as cookery methods in the commercial catering industry,Hospitality,,HOS6,Technology,27
U.S. 15900 v4,4.00 cr ,Prepare and present meat in the hospitality industry,Hospitality,,HOS6,Technology,27
U.S. 15901 v4,3.00 cr ,Prepare and present fruit and vegetables in the hospitality industry,Hospitality,,HOS6,Technology,27
U.S. 15919 v4,2.00 cr ,Prepare and present hot finger food in the hospitality industry,Hospitality,,HOS6,Technology,23
U.S. 15921 v4,3.00 cr ,"Prepare and cook a cake, a sponge and a batch of scones in the hospitality industry",Hospitality,,HOS6,Technology,27
U.S. 497 v7,3.00 cr ,Demonstrate knowledge of workplace health and safety requirements,Occupational Health and Safety,,HOS6,Technology,27
A.S. 91344 v2,6.00 cr ,Construction and Mechanical Technologies 2.20 - Implement advanced procedures using resistant materials to make a specified product with special features,Technology,,TEA7,Technology,
U.S. 12927 v3,6.00 cr ,"Identify, select, maintain, and use hand tools for BCATS projects",Construction Trades,,TEA7,Technology,
U.S. 12932 v3,8.00 cr ,Construct timber garden furniture and items of basic construction equipment as a BCATS project,Construction Trades,,TEA7,Technology,1
U.S. 19053 v3,3.00 cr ,Ride a motorcycle on flat terrain,Agriculture,,TEA7,Technology,
U.S. 19054 v3,3.00 cr ,Ride a motorcycle on hilly terrain,Agriculture,,TEA7,Technology,
U.S. 19055 v3,3.00 cr ,Ride a motorcycle with mounted equipment or a load,Agriculture,,TEA7,Technology,
U.S. 20917 v3,2.00 cr ,Demonstrate basic knowledge of engineering materials,Mechanical Engineering,,TEA7,Technology,
U.S. 21905 v2,6.00 cr ,Demonstrate knowledge of trade calculations and units for mechanical engineering trades,Mechanical Engineering,,TEA7,Technology,
U.S. 21907 v2,3.00 cr ,Demonstrate and apply knowledge of safe welding procedures under supervision,Mechanical Engineering,,TEA7,Technology,
U.S. 21908 v3,3.00 cr ,Demonstrate knowledge of basic mechanics for mechanical engineering trades,Mechanical Engineering,,TEA7,Technology,
U.S. 21911 v2,2.00 cr ,Demonstrate knowledge of safety on engineering worksites,Mechanical Engineering,,TEA7,Technology,
U.S. 22923 v2,12.00 cr ,Demonstrate basic engineering workshop skills under close supervision,Mechanical Engineering,,TEA7,Technology,
U.S. 22926 v2,2.00 cr ,Demonstrate knowledge of safety procedures in a specific engineering workshop,Mechanical Engineering,,TEA7,Technology,
U.S. 2387 v6,2.00 cr ,Assemble mechanical components under supervision,Mechanical Engineering,,TEA7,Technology,
U.S. 2395 v8,4.00 cr ,"Select, use, and care for, engineering hand tools",Mechanical Engineering,,TEA7,Technology,13
U.S. 2396 v6,4.00 cr ,"Select, use and maintain portable hand held engineering power tools",Mechanical Engineering,,TEA7,Technology,15
U.S. 2430 v7,4.00 cr ,Manually produce and interpret engineering sketches under supervision,Mechanical Engineering,,TEA7,Technology,13
U.S. 2432 v7,3.00 cr ,Manually construct plane geometric shapes for engineering,Mechanical Engineering,,TEA7,Technology,13
U.S. 24350 v1,6.00 cr ,"Identify, select, maintain, and use portable power tools for BCATS projects",Construction Trades,,TEA7,Technology,
U.S. 24555 v2,3.00 cr ,Demonstrate knowledge of the safe operation of a motorcycle,Agriculture,,TEA7,Technology,
U.S. 26622 v2,4.00 cr ,Write to communicate ideas for a purpose and audience,Core Generic,,TEA7,Technology,
U.S. 26624 v2,3.00 cr ,Read texts with understanding,Core Generic,,TEA7,Technology,
U.S. 26625 v3,3.00 cr ,Actively participate in spoken interactions,Core Generic,,TEA7,Technology,
U.S. 4433 v6,2.00 cr ,"Select, use, and care for simple measuring devices used in engineering",Mechanical Engineering,,TEA7,Technology,
U.S. 4435 v7,3.00 cr ,"Select, use, and care for engineering dimensional measuring equipment",Mechanical Engineering,,TEA7,Technology,14
U.S. 4436 v6,4.00 cr ,"Select, use, and care for engineering marking-out equipment",Mechanical Engineering,,TEA7,Technology,15
U.S. 497 v7,3.00 cr ,Demonstrate knowledge of workplace health and safety requirements,Occupational Health and Safety,,TEA7,Technology,
U.S. 24871 v2,2.00 cr ,Complete workplace forms,Core Generic,,GTY7,Vocational Learning,
U.S. 3490 v5,2.00 cr ,Complete an incident report,Communication Skills,,GTY7,Vocational Learning,
U.S. 4258 v5,2.00 cr ,Describe ways of managing and coping with change,Core Generic,,GTY7,Vocational Learning,
U.S. 497 v7,3.00 cr ,Demonstrate knowledge of workplace health and safety requirements,Occupational Health and Safety,,GTY7,Vocational Learning,
U.S. 504 v5,2.00 cr ,Produce a CV (curriculum vitae),Core Generic,,GTY7,Vocational Learning,1
U.S. 62 v5,3.00 cr ,Maintain personal presentation and a positive attitude in a workplace involving customer contact,Service Sector Skills,,GTY7,Vocational Learning,
U.S. 6400 v4,2.00 cr ,Manage first aid in emergency situations,Health Studies,,GTY7,Vocational Learning,
U.S. 6401 v4,1.00 cr ,Provide first aid,Health Studies,,GTY7,Vocational Learning,
U.S. 6402 v6,1.00 cr ,Provide resuscitation level 2,Health Studies,,GTY7,Vocational Learning,
U.S. 24362 v1,3.00 cr ,Demonstrate knowledge of working drawings and specifications for building work,Construction Trades,,WTAAR2,Vocational Learning,
U.S. 25210 v2,8.00 cr ,Demonstrate knowledge of space planning and kitchen appliances for use in a kitchen design,Design,,WTAAR2,Vocational Learning,
U.S. 26934 v1,12.00 cr ,Solve kitchen or bathroom design problems,Design,,WTAAR2,Vocational Learning,
U.S. 26946 v1,5.00 cr ,Demonstrate and apply knowledge of the impact of design principles and elements on kitchen or bathroom designs,Design,,WTAAR2,Vocational Learning,
U.S. 27274 v1,6.00 cr ,Demonstrate and apply knowledge of the impact of building construction on a kitchen or bathroom design,Design,,WTAAR2,Vocational Learning,
U.S. 13281 v4,2.00 cr ,Prepare and present basic sandwiches for service,Hospitality,,WTASS1,Vocational Learning,
U.S. 13283 v3,2.00 cr ,Prepare and present salads for service,Hospitality,,WTASS1,Vocational Learning,
U.S. 167 v6,4.00 cr ,Practise food safety methods in a food business,Hospitality,,WTASS1,Vocational Learning,
U.S. 21941 v1,2.00 cr ,Under supervision prepare the hair for hairdressing service,Beauty Services,,WTASS1,Vocational Learning,
U.S. 24728 v1,3.00 cr ,Demonstrate knowledge of work roles in tourism,Tourism,,WTASS1,Vocational Learning,
U.S. 24729 v2,4.00 cr ,Demonstrate knowledge of world tourist destinations,Tourism,,WTASS1,Vocational Learning,
U.S. 24732 v1,3.00 cr ,Demonstrate knowledge of tourist characteristics and needs,Tourism,,WTASS1,Vocational Learning,
U.S. 27640 v1,3.00 cr ,Demonstrate knowledge of current fashion trends and history related to beauty therapy,Beauty Services,,WTASS1,Vocational Learning,
U.S. 27641 v1,3.00 cr ,Describe the relevance of anatomy and physiology knowledge to beauty therapy practice,Beauty Services,,WTASS1,Vocational Learning,
U.S. 57 v6,2.00 cr ,Provide customer service,Service Sector Skills,,WTASS1,Vocational Learning,
U.S. 62 v6,3.00 cr ,Maintain personal presentation and a positive attitude in a workplace involving customer contact,Service Sector Skills,,WTASS1,Vocational Learning,
